%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 10
% vectors count = 3000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute attrib_7 numeric
@attribute attrib_8 numeric
@attribute attrib_9 numeric
@attribute attrib_10 numeric
@attribute class {0, 1}
@data
923.3363,-704.2414,835.71155,-117.921936,-872.8347,577.0221,418.1112,-807.44806,171.91113,908.01526,0
-546.655,979.8921,10.240906,-140.29144,-195.74274,-510.41037,640.3756,-148.48566,599.60474,259.48877,0
36.40808,-172.59521,-536.5897,-275.62775,744.21387,730.14307,-284.8855,993.4463,-746.1488,324.46912,1
535.213,649.4186,-82.442444,31.410767,780.52356,-189.55823,-596.85236,609.7206,385.17932,-848.7287,1
455.82422,756.76074,97.89624,97.56726,-912.8849,999.9961,683.0194,987.3458,-782.1478,611.5741,1
652.30115,-363.83527,-727.1874,-297.69507,-903.6781,447.70593,257.8452,137.67993,-751.08624,978.99524,1
446.00684,-532.60406,-955.0962,-300.4214,-42.560913,-328.81866,-879.057,-423.44757,-761.5831,-802.45337,1
461.1433,-927.5792,728.20325,508.41187,-796.30316,-839.6643,848.0508,141.39014,-998.3949,41.349854,0
-145.11096,162.83484,-229.90265,390.89185,72.944214,808.5891,-344.7262,-833.2485,549.7374,95.696655,1
622.9586,-721.55865,278.61475,-762.8275,-806.2954,-252.12317,788.1594,803.24817,539.33984,383.8994,0
119.54651,-253.65558,408.4065,448.24048,-3.9000854,-356.65448,-837.7138,308.10535,335.01282,-192.41968,1
-419.2309,650.6338,159.40039,-715.756,-964.73065,-522.92834,-560.4458,-833.1793,-870.15405,799.5647,0
425.46912,-841.6041,-25.357971,731.06775,-371.57825,-149.42303,-116.69348,488.93616,767.57556,804.06616,1
475.41614,-274.65265,718.29846,188.76025,-83.12982,-447.22284,782.07654,477.57837,-654.32007,650.33496,0
443.61108,487.04712,-592.4664,-83.162476,188.89294,919.0022,-735.0358,-720.91724,-71.253296,481.59216,1
-554.09485,468.8595,105.54346,654.0967,461.87195,-150.18982,-343.51654,-791.09534,-747.0428,-294.661,0
665.051,-284.67987,-793.7164,791.33923,-247.04932,423.69568,746.51135,-587.412,-951.9661,-835.27985,1
311.4485,799.2378,909.4293,-802.48627,-97.23352,-860.08844,499.29443,301.51636,-658.72217,-729.5165,0
761.30615,-169.02252,858.18335,-277.28833,-600.7838,-62.812073,718.1504,-395.53998,-955.5068,-287.57916,0
-802.961,613.3301,-39.715515,620.87756,426.542,378.09985,-650.37384,255.76038,-630.03864,277.443,1
619.04004,-802.07324,507.79456,-97.01544,-205.64722,550.40063,-311.24115,-586.17944,693.781,-415.64697,1
-958.6662,172.21545,-565.9743,-144.0144,842.8557,-744.7384,378.32397,140.08093,-192.34924,704.86743,0
-268.8899,-425.18616,382.64685,-291.4804,-357.86285,523.74194,328.35754,-704.16174,903.6201,-165.27417,0
115.08362,591.02893,107.15747,-588.14624,-521.36816,-821.09406,-527.1039,315.2776,-143.19604,-277.75378,0
471.6062,965.1913,367.36035,610.80664,-168.96497,-549.9868,-509.88147,127.417725,551.1128,425.1632,1
680.29626,-615.85486,-851.7132,637.6483,-232.83344,-888.41345,-492.5385,-276.99365,-818.4592,-723.0482,1
-559.27106,594.97766,807.552,461.6516,335.27222,484.60876,-431.3371,-53.303345,-881.4679,-515.6826,0
-265.22522,-465.70953,-823.0716,313.77563,-623.23035,276.57385,835.1288,948.29846,-603.23224,-512.44073,1
536.0653,736.7512,126.83838,-318.12964,957.5979,684.8185,615.8528,-586.01843,-40.070923,-309.19427,0
-586.37555,384.22852,478.57764,694.96924,913.42883,-367.0605,260.92102,-60.29492,128.45715,161.61792,0
-309.98065,836.7488,-845.2976,-99.82141,-152.36072,-701.12976,512.235,-418.17285,-560.90533,-182.62634,0
58.77661,792.23975,235.72974,-946.95667,-766.0658,227.28894,286.568,257.0011,-980.5923,-976.3696,0
308.85852,-550.7294,189.94226,919.0502,-612.05164,956.67505,181.74304,-45.453064,-599.8798,-351.98523,1
219.52942,-552.2993,-582.2694,3.3095093,-779.646,-953.0376,-235.80817,15.210266,-568.23035,-180.92834,0
357.04138,844.5183,763.8744,526.89014,-489.4526,-861.9264,339.22534,-477.4818,-534.9999,-33.89203,0
911.558,10.636658,-431.95575,447.4801,493.7063,-170.40356,-745.8915,-694.95667,-212.93164,352.85693,1
751.1935,-170.2782,-180.5827,630.9491,-210.01935,-969.3004,-425.18896,474.22327,-501.5716,110.45691,1
338.80432,-180.78864,135.7268,827.2125,-15.876343,-573.47876,-647.3186,793.66406,486.41565,-274.25024,1
261.3031,309.7406,-413.36566,452.9851,-245.41608,-61.585144,706.08606,-380.95325,-761.8613,-292.55054,0
-27.898682,301.68433,218.60022,-443.72504,-473.2397,-227.45648,39.35486,446.03455,168.04736,-450.22485,1
462.4093,412.1488,-187.73389,-890.24774,-234.11353,-237.40973,-731.5006,196.42798,-440.1557,611.37866,1
-619.65076,934.4529,618.82043,-14.358398,-282.85162,-717.7549,-312.29315,855.9104,686.28516,-246.21594,1
-561.73914,-386.85132,190.2395,-207.02045,536.7633,-247.65887,766.3772,702.04297,129.03662,-178.70197,0
-475.49274,605.36816,957.24,-945.3434,-863.34424,-426.9948,-206.43903,536.89197,-364.53363,-267.10864,0
909.12634,-775.52454,-157.91083,-31.42212,-107.84198,706.1493,-128.62842,-370.727,-712.3977,191.61047,1
351.62097,571.598,251.16687,-107.26996,-251.84045,-192.46942,-306.10248,697.75854,494.34448,50.589355,1
239.13647,837.79565,-489.31604,532.3911,721.90027,106.13489,-867.8738,-395.71075,-68.575195,-885.08215,1
465.55762,-156.11737,-169.17596,-940.1391,763.9949,-346.24133,583.5126,512.64966,-469.0869,669.9159,0
374.2473,-128.08087,757.60205,-310.11224,233.34558,-722.4313,948.39526,-714.333,-144.16248,29.48938,0
403.07397,784.10986,753.01917,850.6074,602.697,877.5751,-17.928345,695.47644,-515.439,770.1345,1
-829.88586,-770.5185,893.9524,469.7655,-417.73273,590.0419,564.80054,604.51624,578.99915,-409.96973,0
608.298,-29.2854,-33.764893,134.95544,-321.99402,913.8655,462.41235,-700.72046,731.9159,597.963,1
789.8661,-756.42615,626.3921,236.5199,743.6328,953.04126,-346.12878,438.6963,998.9658,639.26404,1
575.6516,966.48596,389.5548,-429.13763,-296.9455,-595.99976,-78.3515,-914.9206,-855.30634,-492.53796,0
-115.019714,581.1328,-535.45496,334.6067,79.60266,-592.4949,-315.042,-355.24097,-601.56384,-270.83008,0
820.70447,-484.05994,-211.45789,697.0823,-55.38318,642.92725,959.8357,541.08655,162.31433,360.2793,1
118.15259,568.725,-187.0235,76.905396,-529.70886,-523.74084,-284.9298,513.8456,-718.14966,-135.45831,1
340.39246,-95.49963,-135.60693,-598.7932,-573.25464,-853.3706,26.65979,681.9746,729.0089,788.0155,1
245.26782,517.69324,360.33508,-317.22955,93.52881,-889.93115,489.6361,172.83423,-687.2742,377.86597,0
-961.505,-270.6997,318.3883,556.68335,460.0785,130.77551,904.81287,-880.7569,684.5864,461.06274,0
-555.7263,49.457153,880.2246,-523.9679,973.0779,552.3622,-194.35986,219.62341,-785.1836,393.344,0
-780.7866,-838.49585,811.86865,233.90173,-937.4481,-416.0196,-180.57794,-432.47546,949.9866,463.34082,0
861.96814,158.08984,-127.17847,-329.11005,260.44373,-755.487,966.5432,-38.49695,-91.1156,199.21082,0
691.14905,-77.3811,712.6659,814.2678,-160.79517,-175.84229,996.10645,938.0227,-586.80115,139.93542,0
445.4109,-203.88013,-396.79236,403.71948,-126.36182,-995.1003,847.8469,18.152832,-622.4221,21.330383,0
275.93115,652.34863,302.12305,572.5089,703.21936,-55.963318,-164.06818,-530.90845,798.0775,364.7212,1
-967.1275,-869.16254,31.840576,-688.6112,-413.05072,138.78186,594.11365,755.88025,-215.89026,177.37927,0
580.19763,-886.8787,-287.46173,841.2886,447.2882,381.98438,33.742188,-44.70331,-11.962036,67.63098,1
-600.05865,292.21033,-115.463135,-88.23694,948.97424,-127.63269,282.7096,37.289673,216.13684,389.7527,0
766.5867,-243.50671,-726.9258,733.5303,-386.1411,996.8595,937.04846,60.12732,-721.4255,-933.6915,1
489.6062,-580.1575,-326.203,309.6493,501.87854,553.2694,-983.51056,-899.3467,-915.55896,-853.33954,1
-251.15277,-430.77887,-837.1259,-428.31525,364.75378,480.69702,225.85706,933.8557,846.9868,764.46216,1
400.8413,115.239746,-139.7461,331.51575,-316.9546,420.88086,-152.90509,25.83252,676.71924,424.70508,1
-261.86664,-178.13995,-696.6697,659.49646,115.12024,-289.39655,589.52454,-93.13226,354.66223,-890.6843,1
-131.58191,16.970276,-467.521,84.895996,-489.01712,424.0232,682.4927,-801.32623,-350.01343,822.56433,0
-618.00256,360.33447,267.1554,830.6583,573.61707,721.3214,-515.07153,890.1194,36.710815,-656.87256,1
937.376,-859.8584,985.33545,143.46497,-309.4403,549.55115,-103.16846,453.38635,-659.19006,-795.7717,0
864.55115,410.99817,640.10706,320.07007,520.198,372.49756,280.9474,-711.8025,-114.296814,-461.16962,0
-681.21436,857.93665,-608.4821,-923.6427,118.34387,424.43018,737.6478,-847.51764,680.78076,-688.4333,0
275.71838,-487.7154,-258.07898,927.2427,-845.1959,-510.2321,-872.5557,716.79626,-399.28607,-322.5777,1
-490.86206,-48.21216,387.8744,-129.63086,-72.97925,-434.87897,-185.09283,356.44055,225.34839,-520.16455,0
-690.5482,141.12048,896.21313,-822.2782,-835.26746,276.3545,732.65466,615.2456,-150.17096,-895.187,0
-836.0974,-981.91187,-162.44348,936.2687,-821.42896,571.94604,-41.681335,440.33203,337.33386,576.05396,1
915.24756,-130.13953,-465.1914,-762.77136,785.3994,-878.0599,-108.9209,956.0559,-916.27344,-401.58472,0
-563.50366,693.17334,-718.9998,-154.4826,-900.90814,-197.5719,543.81177,32.22644,-87.85254,-420.98303,1
-95.76648,-530.42645,330.16553,-305.45367,68.67041,578.17175,74.6864,677.2749,-360.10724,-21.157837,1
-972.8934,644.63196,-346.8122,711.2783,343.84766,606.4314,-982.97656,978.2705,189.93713,-168.96948,1
-299.4295,268.09094,270.2588,-996.9907,324.8833,-774.7823,-316.56305,199.776,191.4906,-780.3468,0
-468.479,-924.168,721.6017,-792.327,-810.66003,67.254395,-218.9115,-818.0843,-829.40063,-84.70935,0
430.8523,-723.69293,123.49658,356.77686,-730.85657,-578.6157,646.83435,-559.57117,721.8501,338.16968,0
338.31323,601.8784,388.72644,613.8187,769.8889,-633.3436,867.9877,619.844,-69.21625,-650.8483,0
-641.354,113.797485,-913.05817,76.90625,-220.57977,507.87195,976.4242,-906.57086,-854.99854,992.95667,0
793.44116,-220.95361,504.91345,-25.736267,509.42236,378.12708,877.15454,-395.279,737.7294,832.35815,0
298.26782,-405.09937,569.317,193.56311,-636.56726,933.33484,589.85364,625.89575,-555.371,668.6477,0
-365.48376,306.0592,151.87573,-514.9923,-255.12787,891.537,541.99915,444.98645,262.97168,-349.35596,1
81.34009,-21.013245,-969.02875,-165.46045,433.26135,967.9795,260.3153,-579.8337,-231.72888,596.3688,1
792.7036,-35.58545,-515.9713,544.3827,-804.2223,-16.368591,974.4568,44.463623,-580.33826,-991.0702,1
-598.36914,-656.2867,586.1948,-733.4254,301.07605,194.5216,890.89795,-205.94427,-709.4487,-861.9098,0
568.4192,726.2826,-845.6469,550.6383,405.40466,-527.33435,139.62756,-310.34412,380.44702,-445.32397,1
428.13025,-692.35156,-331.03473,984.8043,436.32544,793.395,471.5725,241.6665,848.67334,255.8208,1
-92.30823,132.33533,103.40234,-516.8399,561.88464,-868.2014,427.02014,-709.8312,-821.4425,150.78162,0
453.26965,408.7185,471.41602,106.99109,964.18555,782.1864,-952.75934,161.1709,355.3684,-108.36865,1
-960.74194,28.189331,54.5354,571.8241,203.58911,384.69775,-688.1294,667.77954,952.954,-931.2587,1
-467.35742,837.5166,-914.97955,-496.98376,637.0166,824.3463,-191.51636,-427.69037,-191.0639,602.0741,1
78.16858,46.97473,435.40515,939.07056,221.15063,-431.86804,39.45703,132.25195,369.09045,196.60583,0
574.5432,-70.41553,307.6858,-423.55664,575.03394,-10.192932,-987.6563,875.18286,346.97363,620.64417,1
359.8789,-163.12878,635.188,-8.141541,289.2506,-479.84247,17.289062,537.07166,30.050781,-407.38287,0
652.08484,-161.6391,-74.34216,413.78894,-50.654053,-69.786194,848.6798,563.2372,-770.16016,-335.49475,0
-760.49445,-43.722412,-491.0075,-454.26306,-605.50714,-761.1669,-835.5051,-724.1416,788.52014,-235.78247,1
437.62024,-859.4341,937.3358,-871.5324,-530.02527,-675.94476,-411.6604,977.1775,-108.145386,256.78088,0
-125.86603,595.61475,855.3384,180.85388,471.38757,-344.77527,844.69446,-739.7145,-221.74396,413.46082,0
598.6365,768.3688,656.8059,-349.79596,43.41577,-847.94275,382.5946,-327.13574,-737.31195,103.29236,0
-898.2403,-166.41632,219.54956,-840.2063,-683.32623,-824.20935,198.08777,812.91895,704.4269,-936.31854,0
-253.75317,-382.23334,918.0984,-52.966675,-721.2416,380.7821,-71.01477,775.08325,-561.6541,142.69727,0
938.65674,997.0325,815.35876,379.7201,922.90796,-426.93372,690.4502,-386.53693,465.38806,968.60596,0
91.861206,450.17896,-303.11768,715.8395,-351.6678,962.4519,876.92993,800.40283,-529.39014,281.5686,1
437.66284,-132.58539,608.9757,286.37268,155.45459,-960.1061,-488.8264,-645.5171,524.1704,-996.08136,0
344.5664,284.33704,-625.489,-61.28943,-951.6949,701.59595,-682.8474,856.162,-454.2522,531.0249,1
683.07935,963.14453,674.3187,-554.952,292.7146,771.2733,79.449585,-407.25647,606.1577,852.6216,0
571.1998,-631.8661,590.036,-623.7848,-743.3945,494.19678,982.18677,-141.03882,137.75842,-720.89594,0
543.5835,-74.00879,805.07153,-456.22662,357.62866,299.235,-642.86096,-575.1061,270.13354,719.35815,0
743.0547,-974.8311,-840.98785,55.036133,349.9994,712.59143,880.91785,-535.1439,848.37036,763.15283,1
462.7555,150.97266,58.67041,-3.5430298,389.2025,979.9679,918.8334,71.29431,683.0801,45.196167,1
-492.3892,-811.6925,883.6138,106.22107,-480.8969,89.4574,998.32837,764.78064,-414.5326,449.07703,0
37.525635,223.04517,-590.7114,-981.11993,835.996,518.7604,-205.94507,219.3667,524.8164,243.19507,1
350.62976,-737.3511,-763.2062,-78.35663,909.5669,-653.2033,-587.6875,-527.4436,483.56702,-20.619019,1
418.04993,460.21008,-998.6695,-932.0279,99.22754,217.14087,-26.490723,-942.07336,356.765,336.4104,1
753.4181,-897.12427,-126.08771,520.0886,-880.3831,-979.09424,-287.36615,319.17273,534.42773,619.5,1
658.22546,-88.51343,-378.09216,-135.11127,911.3445,737.93555,160.74463,-673.4686,-990.1601,-446.1831,0
202.00317,345.03613,-291.53058,-749.28357,798.59717,451.8971,-47.203796,665.8489,272.82092,-287.99182,1
54.259033,-480.47162,950.21875,-135.0083,-293.38562,-392.21625,-147.46515,408.95813,-420.34918,-574.04156,0
969.4293,100.38965,884.2794,510.46912,418.10632,736.42004,-476.19208,-40.28131,-948.0521,540.8616,0
229.40955,831.49146,-106.29474,992.90576,-576.5024,412.9851,145.74866,-482.4948,-537.0758,-279.0379,1
-530.6694,-900.9785,-615.37683,13.332825,-273.2257,584.8008,309.51782,-420.19263,444.94397,212.91772,1
-743.7781,628.08496,885.3181,-271.59198,-725.7402,-306.62323,-204.57208,-655.11536,527.2417,-327.11682,0
-331.6131,763.51404,239.62573,-676.81946,-348.3177,478.90576,-733.5925,857.2948,123.35852,681.5453,1
-546.72266,139.56982,393.17078,208.98157,925.4916,900.2694,988.24536,-796.9443,-23.09784,378.172,0
-452.76996,398.0365,326.3004,848.256,473.8778,-705.39355,-833.57587,-397.10785,-809.54584,867.22156,0
651.6886,-871.2068,83.31714,-92.55597,-746.1002,-541.7034,-952.53375,-376.57513,-239.08582,-27.613403,1
913.81494,695.7959,-398.5888,294.18665,982.39136,632.8021,649.6476,-664.51575,386.6266,972.5902,1
-302.73193,45.178345,-921.65906,-351.859,-625.0544,957.3633,-150.0047,-339.58313,464.83276,248.09961,1
0.22314453,-902.12964,265.50452,-316.25995,0.61676025,-504.46124,-45.720947,580.01685,836.19055,-455.4718,1
737.50366,-310.083,-431.1015,-757.23145,-12.40155,-200.29553,113.03845,-279.50104,536.35205,-263.7229,1
-786.6757,179.021,827.16614,-524.6316,180.86499,-351.1648,724.65137,88.94092,-930.76074,-396.64435,0
-561.822,-618.5621,-337.69177,-143.02643,236.68689,238.39539,897.36523,631.32056,-584.7257,-52.763123,0
-838.33185,191.15955,319.75977,-951.0893,277.36023,31.410278,-856.342,-359.65234,-70.76813,239.3927,0
-317.32898,-528.44543,791.735,361.45166,-734.9756,-332.52063,-323.89056,-129.29584,-328.32593,453.6178,0
645.43774,-837.27325,-981.38806,875.6543,234.89563,898.5807,-705.797,-822.7362,666.4203,469.6499,1
-472.31177,236.52332,261.46948,-623.65424,410.6931,-739.78577,-867.50037,392.80762,601.7822,796.6244,0
673.2439,532.31213,-85.19562,-948.71704,-630.17664,-966.8245,124.97717,-523.6041,-980.8224,852.5166,0
222.3606,653.5713,568.25635,-514.67566,-399.4254,-399.24335,-523.137,318.85046,-110.68292,808.13684,0
758.99805,-812.5712,-77.55664,-455.9331,-327.99896,310.39844,679.0692,-729.05115,-600.2567,-624.11145,0
-56.6344,-627.71936,15.577087,-824.2027,-100.586365,815.94165,-487.29974,902.37866,910.6925,-134.89667,1
-245.95184,-15.571594,-670.5232,-503.0204,-179.22314,-828.8634,339.62195,800.96716,427.85706,-535.74493,1
556.9198,301.54504,-172.75098,-545.69666,-605.5896,-112.36377,-66.417114,-365.88177,-954.26404,-171.03656,0
-715.7776,343.12683,347.83264,221.25305,885.0421,138.30261,-245.0498,125.97644,-4.798889,-407.15662,0
-810.79944,656.64124,-531.34753,-208.81458,-371.46484,312.47583,397.07483,-880.9517,951.254,-28.324463,1
-511.62762,339.78198,776.8556,-869.78784,-133.16223,403.36755,-173.76392,208.53027,795.5272,-48.002747,0
669.95276,47.288086,198.35156,66.24402,641.4663,-925.37775,-201.16357,438.39966,162.9834,-948.7482,0
194.46399,-135.34912,764.72205,-213.94342,249.953,715.327,674.1234,-236.39972,-180.20215,-127.45593,0
9.743347,-763.6086,999.82886,-482.86182,335.2506,-991.4927,859.52014,101.865845,612.17163,-126.4682,0
-78.78357,865.4227,-564.2824,468.5868,-470.59418,321.91357,-153.76465,-832.4342,-307.3778,302.98132,1
-20.471313,560.5049,982.5072,334.8849,352.49536,-947.6439,-360.9784,400.3888,676.2323,-836.746,0
157.74377,-534.58826,-253.0373,223.69836,324.65015,542.9525,-814.15845,331.89893,-84.27783,521.8967,1
-418.09937,676.8602,93.18103,505.87964,-61.904114,629.61084,-92.89972,-12.536377,228.62366,366.31128,1
-749.3959,-174.5362,346.37585,-789.20135,118.80835,698.3342,752.6062,370.4602,86.11719,-525.89404,0
736.58386,288.15186,-456.5611,-232.55487,-648.7865,-555.79333,-573.65826,846.9794,-188.6966,-883.59265,1
917.11707,-988.8845,424.3672,-657.875,918.178,-431.84607,-30.4516,-874.34796,971.167,-363.4203,0
848.4573,795.0897,735.60815,123.99011,-697.5831,336.97412,142.88184,-551.80347,523.81433,523.15576,0
905.76404,-168.38379,-415.04047,-306.7245,190.71582,-669.8524,766.05383,167.50586,949.5692,-849.6986,1
84.57727,438.05798,659.20483,263.4375,611.6041,524.2788,-967.7313,-156.46399,-493.74072,174.99536,0
-361.0664,635.0083,-392.26685,963.08826,319.1588,999.6332,894.97437,-258.89557,766.85693,96.78076,1
157.38257,413.04932,731.8303,-581.3368,815.5282,-473.67322,912.2915,732.4346,989.1262,799.11926,0
800.2362,-626.46716,630.1991,372.33472,-506.11105,789.74146,-177.4389,311.5702,805.89734,-746.97644,1
194.46423,683.37256,872.9015,736.26,-200.5531,391.4037,911.5582,-905.4004,791.1294,-118.05261,0
-231.94385,-103.789185,750.90454,814.52026,472.6057,-485.20044,623.17444,842.18066,137.34644,426.33765,0
870.9866,-242.54462,-774.4375,-954.97723,685.6273,433.6327,472.0553,-111.42798,866.9325,227.49744,1
-451.0312,-619.4754,-663.2213,-191.58508,948.3237,177.31238,-843.57874,739.99536,-508.0363,550.43164,1
389.04993,564.39905,381.5735,-940.8716,-817.8674,625.6736,765.87976,516.5895,39.826538,-582.66187,1
-570.8992,-917.29395,413.93152,850.7626,394.16235,209.05786,462.5713,514.71204,986.15027,-883.1561,1
-891.01385,-267.23895,-784.0733,-493.93906,378.526,-975.89307,-779.2168,274.31335,-599.86597,-565.36176,0
938.4657,166.21106,-570.6815,128.94629,-807.1478,479.39636,-217.1933,-379.7066,-65.98016,220.81299,1
-329.21515,64.380005,-497.60526,436.91187,570.8269,-845.9189,476.1223,834.0658,8.319153,326.14978,0
912.75867,260.5437,391.39075,-772.78296,610.8318,-861.02905,-105.934814,685.2388,393.771,518.28394,0
289.54626,-206.12366,358.16663,-943.2378,-893.7389,-858.8795,530.26294,-47.198486,512.48157,-300.20374,0
439.04956,607.66785,931.04944,-553.58057,741.2648,634.5513,-456.06403,-613.8032,223.07959,720.81824,0
567.06604,-664.2052,-744.81793,-194.5658,-540.95557,-448.16962,92.44006,-948.88715,-926.8803,-908.1404,0
-713.7357,170.8219,169.93005,-344.0243,-82.74188,810.8551,-320.7256,580.9503,-642.31757,897.7582,1
-367.64435,645.18384,-162.27338,-876.02673,-218.3512,-608.44476,216.52332,77.14929,-416.2528,786.59375,0
48.30017,-89.3656,441.24268,-791.78094,-713.9837,-92.2431,882.9027,-9.372314,779.2803,810.0679,0
-292.89508,53.731323,100.30444,359.80457,-978.3025,505.8772,171.09985,149.40845,584.15454,532.4148,1
667.07104,-423.9895,879.09863,368.99573,236.62097,466.3733,965.9675,707.3248,-796.6648,-232.1388,0
287.80273,492.40845,-393.24298,-406.41675,-647.15735,744.1719,189.73059,-135.06482,483.8069,772.65063,1
254.73328,812.34326,675.4568,954.7805,188.57544,675.0918,9.227783,-897.84985,-105.70245,83.69275,0
-955.5752,-627.103,-628.9493,813.3368,-861.3199,-332.7362,247.19324,864.5394,746.0747,-504.8421,1
-801.2024,157.17737,399.52612,-584.6188,-124.792175,-483.3125,-695.249,-679.96704,-794.7551,86.27734,0
-743.6886,73.90857,772.1089,816.57556,931.95935,-682.4474,321.9812,264.2295,-470.3039,-396.0548,0
410.78052,-426.46637,-817.3359,-537.3639,695.484,220.25183,620.197,-528.5359,-559.1276,864.3738,0
139.05164,-35.171143,439.51672,488.62488,107.05115,618.81116,-267.72644,-107.8736,-57.92755,827.2649,1
268.5083,563.6802,-207.487,-480.66718,-40.275146,976.7335,991.0737,-132.33533,-542.7749,-571.84753,0
