%............comments............
%............comments............
%............comments............
%............comments............
%............comments............
%
% attributes count = 20
% vectors count = 1000
%
% Edit the attribute names (attrib_1, attrib_2, ...) in this text box and then save.
%
@relation xxxxxxxxxxx
@attribute attrib_1 numeric
@attribute attrib_2 numeric
@attribute attrib_3 numeric
@attribute attrib_4 numeric
@attribute attrib_5 numeric
@attribute attrib_6 numeric
@attribute attrib_7 numeric
@attribute attrib_8 numeric
@attribute attrib_9 numeric
@attribute attrib_10 numeric
@attribute attrib_11 numeric
@attribute attrib_12 numeric
@attribute attrib_13 numeric
@attribute attrib_14 numeric
@attribute attrib_15 numeric
@attribute attrib_16 numeric
@attribute attrib_17 numeric
@attribute attrib_18 numeric
@attribute attrib_19 numeric
@attribute attrib_20 numeric
@attribute class {0, 1}
@data
187.04846,-41.057495,103.40112,-435.86053,-944.50836,603.55505,581.52527,-41.626526,-988.4137,-681.1035,-99.319885,551.97034,-374.49658,339.52136,-79.57361,754.5563,195.47046,792.5238,-667.87,-704.5294,0
-292.2644,875.58325,27.950073,451.40845,-621.55035,848.391,-874.3715,985.7877,-56.700134,781.119,515.109,764.015,-785.7572,122.7395,302.78015,534.2107,-411.29974,583.6383,851.39856,-799.1503,1
175.09827,-428.89124,248.5216,69.158936,-10.356812,472.95544,-16.465454,-998.99005,-717.254,453.573,-626.8666,-801.57117,-530.47894,108.5094,847.3801,-581.25824,367.30188,317.66235,-406.77795,825.7623,1
484.12976,-56.101624,249.62366,394.31702,-44.30945,-356.97485,358.2339,-189.20087,394.1859,-17.312805,-904.2307,150.32642,-608.85376,311.89673,449.0642,261.4751,-292.7973,379.55212,441.00452,752.4486,1
285.3556,-430.56427,275.32275,-252.07037,140.28967,800.8252,-659.4946,-826.2387,904.80396,-362.00818,-102.18024,-773.0161,-644.5625,-41.499634,975.74316,-98.34656,-407.11017,-350.6339,502.83386,-33.746643,1
-281.1494,-768.23615,33.354736,-373.5973,-170.6336,-940.8729,-445.2751,-743.0436,935.89026,790.1118,813.1378,-949.51904,28.676025,207.04529,353.4536,-795.5182,913.1903,-867.8832,41.73584,-642.3509,0
-321.2613,187.70825,-776.42865,-614.223,-300.4914,-546.09283,868.5737,-619.0946,-78.24341,695.37854,61.242065,662.621,-143.12445,761.4197,-979.394,8.347778,-821.4021,-992.8426,465.85876,-60.156677,0
-886.3958,140.48999,592.4425,866.01465,918.32263,-231.4826,182.81738,157.55054,-349.278,-901.1581,-551.5889,816.76465,-825.58777,-254.73566,-915.98975,306.42664,873.3888,-605.96106,713.12256,314.26013,0
-90.73456,205.99365,412.60205,755.1642,-981.138,261.4602,-672.902,151.11536,828.5242,99.101685,-481.3498,-320.90582,-547.4275,-543.63684,-855.97705,-359.72925,746.7897,-311.58496,812.13245,879.0735,1
3.873352,-975.9045,546.18945,-231.3399,106.29492,811.5016,159.94458,-220.30609,193.02405,-787.4803,-945.31085,-637.7728,750.09033,424.7234,453.4298,895.87463,-299.02826,440.7113,-89.07947,801.36,1
-448.6875,599.0958,573.00354,556.90186,-66.50586,-262.00586,105.97131,325.80066,-999.909,631.01514,476.4347,-823.0239,-968.7356,567.37537,-165.56055,468.09644,349.66162,-568.0831,-362.65277,-138.66821,0
-822.5987,-552.5573,-150.74438,654.6531,-576.7549,860.92566,560.50366,636.99023,-445.93213,-713.21576,-305.93127,513.45276,-316.7442,-835.4365,-399.56677,97.20813,799.6797,-155.00214,289.75745,927.50037,0
-335.59955,187.57373,-190.0321,748.6869,-681.71344,234.34827,851.6305,373.05884,372.2329,518.9271,-954.7529,850.60046,292.68958,876.1361,613.87744,581.7377,748.72424,-762.92944,-946.24457,34.509644,1
752.85535,825.8419,337.8335,65.49695,-193.5877,-581.5184,-228.04498,494.2207,551.19116,881.1072,-919.38007,543.6273,532.6929,-926.4091,-440.9253,34.654175,-403.75653,-613.3856,200.7229,-189.22803,1
-834.1849,-325.86456,593.6194,-231.21661,196.37988,149.92847,-922.9261,-914.9505,-55.856995,936.0055,-840.83875,-248.29095,-134.9784,382.3639,-481.8075,-624.6572,-69.75336,-978.35394,-954.0238,340.9276,0
438.984,-921.06177,337.95654,-93.184814,-988.6152,-173.92236,795.0869,-428.1397,-138.50854,751.4741,74.559204,143.71631,677.9414,-489.40308,11.276001,-662.29767,-518.57367,-71.085205,329.21887,-551.4586,0
-318.62115,948.22095,471.63135,-337.34332,220.3772,338.91272,701.20056,916.6044,-826.7295,-755.0628,256.1864,857.6134,-540.95374,-815.244,795.71484,425.08972,426.9745,0.82073975,-372.78357,-152.66144,0
994.58044,-568.30676,-718.7456,435.6432,743.51196,475.08374,-116.24298,-541.76636,920.3865,-483.27814,472.93164,589.5663,-356.78857,319.11646,917.902,-44.270813,779.9962,395.8988,-581.61957,-365.32538,1
-55.317017,-958.4144,-300.55194,620.37476,-153.45984,343.2401,962.7832,-277.11517,832.6832,-130.3515,415.44568,-348.31207,879.39404,415.26855,769.5862,617.5907,516.43506,170.35107,-508.7799,-811.17676,1
209.56213,-4.7263794,773.4668,-150.10754,579.9635,-903.73425,-780.5756,737.12683,-494.64236,331.34656,42.11316,-637.2595,626.01135,-380.56262,223.68726,789.6362,-930.0577,482.25073,523.38074,-317.94263,1
315.0952,617.69653,-516.58185,932.589,-977.7089,585.19324,-345.61322,-846.1008,401.2671,-822.5972,-853.66785,-775.9972,-786.8597,-140.44263,309.10583,286.7196,866.1415,-223.31775,-144.7431,134.38953,0
-772.51526,-739.34045,-938.97107,-262.20044,752.75183,-486.77948,815.7842,838.6654,325.18457,-802.4066,237.44861,982.90356,800.7991,-959.32697,-668.6706,148.31958,-328.75476,-770.777,-258.0678,-791.7732,0
484.85413,-622.24316,-967.84045,872.905,-292.6673,-847.6111,-878.45294,463.6942,-442.92413,-745.9144,524.95496,899.912,16.086792,-603.6131,855.3976,-383.32513,696.0099,156.8097,689.464,782.08875,0
-470.20544,-862.21454,341.03992,145.1742,363.02808,742.12476,-651.18286,121.270386,-565.0137,-950.3585,555.33386,-690.43445,-532.0284,775.7112,540.0585,-462.22052,-375.48218,99.178345,-133.70343,741.9252,0
-54.43756,-733.8338,111.4613,-485.5401,48.69934,307.98804,-27.480408,992.0309,-155.85864,-44.507812,-126.81305,-95.59216,817.03625,-111.17859,-553.2887,-930.9099,28.300049,-169.29742,-972.1476,391.46082,0
-597.8594,-326.97437,859.92847,518.2565,96.965454,820.60925,107.566284,692.5078,-202.61963,242.69556,-36.941284,70.99939,-381.49786,-658.1483,-856.0024,-209.31519,979.8248,-318.40094,-97.88397,-591.61096,0
-715.60754,858.23376,298.03955,-11.486084,530.05054,358.93835,-56.087402,-923.6417,-916.94073,-882.5728,-324.37018,70.05383,-239.62842,-339.9884,688.6693,92.00525,-904.6074,229.10522,-443.70886,361.12024,0
-796.9473,77.83655,246.12671,-720.0022,-986.4577,248.57202,760.9542,976.6405,-189.92743,579.7977,351.7196,878.14355,984.5408,-570.0558,-614.3752,-955.7959,-284.00378,-336.6183,-100.62189,-548.81274,0
880.3164,812.9541,627.45825,-807.12744,915.5204,-984.9396,-132.48352,-348.10168,-404.33856,-692.56946,929.8037,96.31006,707.2549,-813.6123,114.77344,868.5104,475.71692,-60.474915,172.7815,359.29822,0
-744.69916,-798.6305,-977.9346,-702.42334,-525.464,423.74255,135.95325,-463.30267,-879.81,509.17102,-542.48315,481.3026,-853.71106,-275.15967,-40.34851,573.9155,-889.2531,196.22339,-959.1725,-151.58209,0
70.67285,773.6587,-168.47314,457.94995,-691.5642,871.79297,-816.3582,-702.34784,-185.91248,0.9429321,624.8794,368.0625,615.7561,-858.927,-117.518616,362.87476,28.140137,853.2229,-284.66675,-884.85077,0
680.2478,-920.1347,-259.19647,998.96265,787.04236,954.8092,-297.58075,158.87183,545.6697,-375.09198,-803.25183,-472.542,-234.53943,-920.029,-737.37305,991.6079,881.91345,-706.08203,-566.86426,-218.92126,1
358.38354,599.35693,-139.51062,178.28625,-854.7855,149.40588,-53.721313,-13.856628,-655.43134,564.72046,544.2615,-158.83173,-479.77515,-579.6711,250.1687,421.97412,-804.8696,96.01611,-447.24304,-121.362366,0
-4.492676,-304.3568,-307.39703,-603.6599,628.83154,234.92273,-40.095947,707.06177,-575.9846,-896.183,-140.18951,-423.998,-484.35706,-71.137085,-916.4159,-185.21259,-79.878174,-607.6301,546.1427,-788.57666,0
730.1306,-690.42303,-114.685974,-82.6687,444.7566,321.49707,765.3899,-705.29205,56.235596,-69.685425,-912.66284,-997.169,-69.78174,-714.1548,780.2859,189.82812,-254.9928,125.70813,-766.31726,-943.18396,0
796.2201,-421.5022,-373.23676,-225.79443,-173.14673,158.38818,421.75842,755.3635,208.73474,-788.76294,-890.47644,-369.2937,-220.13037,316.40564,-68.96332,-84.301025,933.19946,705.1416,-254.51807,329.11438,1
-344.18958,-374.4787,475.39978,-6.6920166,133.64233,765.58325,631.6505,-663.85474,265.26355,-659.5738,305.70264,-585.3833,969.29675,-744.3127,-285.976,-406.93933,523.5919,-121.04443,889.1199,-965.6923,0
340.2611,-617.6847,-565.97327,-700.04974,559.2042,363.3578,391.8357,-493.6683,633.7706,-491.36407,-770.9125,-54.260498,-314.28278,432.682,-308.35724,857.6782,-177.3595,-492.65497,863.902,122.98828,1
839.5718,490.3468,147.0094,-946.0328,767.4464,-931.40247,-931.0539,-833.45856,-415.3335,-949.04987,849.17957,845.9247,-925.9995,-123.2865,462.80347,-844.905,285.56885,350.38782,-416.1316,685.8048,0
-642.3102,69.7218,234.86804,314.73962,550.8694,-116.662415,229.11292,2.8202515,266.2362,-104.19763,564.9856,-636.45605,-451.7603,32.175415,-184.15558,-373.3559,-887.5577,-19.309082,-743.40326,836.2407,0
292.75623,451.3844,977.74255,648.04626,-531.515,120.10779,-440.0581,-71.921814,510.05396,371.51904,16.933472,-494.27515,-426.68054,-988.7258,661.8943,-103.10205,-824.12823,486.78845,-687.9041,-411.60266,0
-95.24432,-162.4231,818.9795,-437.49542,333.5509,590.3197,-704.4634,141.2124,767.771,-879.55383,-389.85242,942.386,291.05164,-378.836,-274.20166,-234.45374,-749.37994,752.5067,285.85706,-437.1494,0
799.04736,-712.8904,482.3623,301.2445,-599.69507,-373.93317,-309.96332,484.6399,-688.33887,927.3618,609.00793,-619.6268,-31.0318,-228.99438,-268.51617,-417.91663,-68.59302,-220.84564,832.39233,441.54138,1
582.7721,416.12378,881.2656,114.854614,-860.1039,-687.6467,-717.58813,-506.14313,-315.1754,-111.98291,672.682,-868.60815,915.8739,796.11743,640.90894,419.5786,103.715576,-238.46185,680.3563,743.04846,1
342.14722,-238.32416,-554.71454,-895.4723,599.22754,175.9065,-44.988037,-191.96954,-697.03314,-474.71283,773.58606,-814.67944,236.7799,-269.46838,-609.4964,64.188965,373.42578,435.44116,37.61389,702.48425,0
942.17175,-125.39038,-0.34161377,-750.27374,-497.5629,8.366333,110.64111,-551.4804,88.185425,204.55688,575.495,250.88013,590.853,-384.09393,516.2761,-700.0281,-535.38794,-416.65576,714.3811,-184.35205,1
-433.71173,-110.1756,-94.94879,322.57446,-516.7368,495.79077,-322.30933,872.6133,56.21057,-493.3939,-454.70825,-61.476196,-30.469788,553.8843,68.52649,993.938,-739.141,516.81165,54.830566,944.9535,1
-607.9465,-433.81207,-199.93292,41.580444,-872.44476,-116.94916,100.12952,672.66455,882.06506,-914.60425,332.10278,535.806,427.9679,-609.3633,289.37073,74.17908,-106.03369,-151.89948,-347.67694,785.0487,0
-160.10553,594.98267,-13.920288,30.176025,858.70374,-979.16376,978.91675,-683.813,635.1212,-30.194336,-730.1561,663.375,681.50464,-333.54303,661.04846,-355.70056,74.92554,-79.80292,770.6876,-51.07318,0
-564.46387,-655.0841,-746.2263,920.9586,-885.2176,-175.37555,603.6675,410.37695,-896.9503,-737.4949,243.95471,500.1283,519.8367,-230.07349,130.25012,-809.73785,-284.4276,-116.3786,-596.2603,960.72485,0
-7.294739,143.3634,773.0331,-715.5963,744.70984,-580.8826,248.16846,624.9077,-584.8293,745.78564,610.37524,228.95862,95.12134,105.30286,-426.53394,-888.8414,-194.67145,-410.01636,-22.504639,-970.7069,0
-448.76953,-312.34167,-447.4123,-38.78656,91.75171,48.28003,-199.39667,619.7395,29.233276,23.322083,-635.42316,879.9099,306.23352,-486.5722,890.6262,-356.701,485.96753,-783.585,-165.70013,627.0116,1
296.67322,-763.12305,923.0913,-159.64612,836.20386,200.26428,-940.88165,100.07373,-438.33575,-491.52887,330.72925,-164.54926,-270.07684,-819.4105,-500.9368,-352.5905,308.35022,841.6383,835.35913,611.2175,0
541.141,-146.28772,-492.92856,-849.777,335.10962,328.13635,845.61804,458.47632,-580.15643,-186.14587,775.84985,-87.03119,840.6322,826.417,447.09888,-308.38367,-241.4054,63.582397,-322.07385,-98.99786,0
760.949,-852.32935,-788.5437,-81.7135,-74.619934,-958.5308,975.4519,364.5808,-264.0202,-96.38544,551.0465,-847.52704,-385.75183,-918.97614,876.31885,388.28357,307.15906,180.08557,845.6605,560.0226,0
665.3119,-285.037,913.15015,404.90454,447.7036,700.50256,67.91577,-874.325,705.6731,738.87976,621.7322,212.88806,27.084473,-356.74158,-866.13403,-969.33374,462.83215,448.37488,-504.55524,-463.63306,0
-688.7346,-222.89441,-294.6051,-970.0339,102.145996,963.7118,-807.74286,-333.13513,100.27002,78.59729,670.95374,-381.78833,439.89575,-943.94037,-529.1515,-774.2736,604.6416,-504.35294,31.205688,273.39978,0
-616.4722,-610.6148,-167.58234,-413.6626,-337.64453,-978.73175,-583.85864,-432.59918,450.62988,-407.94385,-655.25665,-4.802246,397.74988,741.55774,960.22485,-567.6443,718.2053,-927.7804,-374.94196,930.9093,1
-75.96631,-978.01575,762.13586,-627.97974,53.807495,-8.983032,458.29834,740.1406,190.93799,-503.95392,-344.33167,907.11755,-19.903381,-692.30115,27.29248,-910.3665,-420.92993,20.35785,518.3489,-956.2384,0
-975.61707,-689.2989,231.45068,-726.6903,-657.46515,260.23206,-155.66205,54.015015,-95.2832,548.7457,70.517334,-86.45538,-498.61472,-930.18463,-191.82532,-642.3567,404.08984,-423.9709,569.9497,-904.33246,0
-714.53577,-669.15704,-454.06976,-205.87299,284.30823,425.55835,-775.51416,474.75244,-268.79956,414.0741,880.32996,-926.00397,-908.8981,-775.2989,436.46204,-606.2394,532.92114,927.4708,216.4082,-301.4525,0
202.03174,-132.9914,925.4453,-447.90063,-249.75568,915.18176,834.25757,-862.99036,968.7562,-845.62354,-414.2594,-736.343,-526.88904,-828.60547,305.43542,550.2147,-694.7782,323.60413,-231.66296,843.379,0
-953.9764,-166.88135,259.59082,849.8434,-426.66162,371.41687,463.85522,-838.5537,-46.950134,915.96204,227.87244,-617.698,-882.29736,-907.9879,-636.942,-95.88165,965.1554,-43.037903,-210.31769,-973.7022,0
-699.0686,241.19165,-728.51355,580.30396,651.4292,428.53662,-250.66394,-6.8289185,-608.8317,-258.85474,-145.21405,-187.078,855.76196,-912.3863,-430.80658,-880.9498,153.32556,339.94446,-808.7187,954.11523,0
-759.4581,924.0055,785.8207,-62.111145,495.6239,639.8115,108.36682,563.37854,-501.07123,872.0884,635.7478,-675.5486,-977.00775,908.22485,779.2716,787.66455,337.27075,-50.149963,617.3828,996.3053,0
848.89075,585.9248,-443.23608,-817.4698,829.224,-10.632568,-784.3538,663.8861,517.119,905.88,520.35535,13.384949,243.1399,-377.2209,515.88696,117.69519,385.1725,537.2793,713.5703,-424.0957,1
944.2811,687.81177,933.64453,41.694824,320.70825,668.61,547.8396,574.6715,-526.57117,716.92554,786.8158,-158.03864,-937.31494,443.88562,-650.41614,-900.8922,-596.5556,-325.8601,-63.20569,-720.3406,0
98.737305,166.08582,527.047,235.75684,75.348145,-396.3966,-774.85974,-802.5991,-589.65173,181.87012,-666.5561,855.9834,-184.52405,353.9673,-67.654724,-871.9507,937.3821,-138.37054,702.98376,618.1493,1
735.2788,-957.37024,-14.744995,75.03369,113.540405,-411.06396,-863.6685,723.32983,715.3257,-576.0916,139.71094,-746.76733,324.3026,-826.5437,-887.9291,463.6328,675.07324,-174.79242,-135.0257,79.493774,1
-361.08502,601.3872,-999.2689,102.18237,-270.0357,815.24084,-843.50415,-798.1523,-332.00952,-462.51935,-42.062134,-876.16943,-662.5812,268.37146,-996.4088,856.48267,898.28015,492.71533,-226.74438,-604.3417,0
33.277832,-10.86676,-261.4131,-658.4618,-643.8191,-928.3169,151.27795,-723.67,860.2649,560.9957,993.999,896.7855,-48.45923,-786.2523,401.53345,-786.6376,90.02551,-416.56622,-505.6946,778.25073,0
353.3246,-157.95892,-986.233,-132.62885,340.31042,961.36597,-591.124,-183.15002,-251.29767,-165.6405,-904.8414,302.3573,-311.14038,-588.9767,492.62244,-749.906,-662.87634,730.0211,146.0448,281.09692,1
885.5564,846.3115,-259.0691,-884.0728,-89.0614,-913.2524,-849.2977,-795.3054,-735.59216,-190.27106,785.4375,-2.237732,374.13037,901.63416,459.75793,735.36597,456.91882,-388.0982,-242.78693,409.77515,1
-449.2798,-989.7332,440.78772,641.50916,-491.5814,-656.1983,843.9171,611.51904,134.40723,878.0536,-626.3342,-95.871216,-501.09467,425.70435,-732.5166,140.92505,131.0072,697.8286,-432.77222,-376.32404,0
269.96863,-143.04407,-91.099976,854.7455,-354.74976,207.79468,-826.19055,766.36475,359.354,-169.39417,306.64844,-234.49005,-636.497,-856.1368,-321.7755,289.02942,-255.26764,-123.028625,-744.6396,464.04932,0
-416.0255,740.4581,-462.2575,-318.41663,-501.7656,200.19507,731.2577,416.65576,-854.02856,193.84277,949.6311,466.14465,953.3154,-628.1425,-629.06305,-74.06207,109.76245,502.03455,-777.176,-308.11285,0
-514.48865,45.708862,230.0614,-955.56494,538.61633,595.3684,730.27686,964.68286,508.6488,857.5808,48.522583,-769.94714,234.5747,-828.2274,-81.42493,-949.4034,-211.92853,-825.45905,-251.36646,-967.6173,0
779.5231,150.81873,351.35425,592.29626,672.44666,-142.64569,392.91772,-401.0327,-266.8775,160.60864,-736.903,-22.561096,-654.28827,-299.68835,-671.9453,290.57507,-660.8368,971.56116,-400.13147,-101.90088,0
-299.27344,-287.5105,-258.45465,-805.4541,591.9044,291.16016,23.55243,640.298,-63.809143,-95.49774,-642.34045,-174.72931,13.961304,833.7268,-143.84949,642.69836,-521.60815,-255.18896,499.22888,-199.13287,1
997.30334,79.28003,440.7085,-636.47253,-670.65717,-50.349976,241.84534,-214.88574,58.92444,-364.45483,895.4303,-5.211548,-557.12366,-229.36633,-112.96771,-516.29175,862.7484,-382.825,737.5431,62.826416,0
-769.7465,444.10706,-519.05597,-16.097656,-640.6664,-43.755066,353.4757,454.30762,-203.14752,-33.69806,-394.83636,226.59253,-105.063416,-941.9144,791.9133,-93.322876,-988.50085,858.3607,-833.84436,-100.08765,0
641.4989,716.51416,856.2905,502.15698,-989.9992,-914.708,409.9397,-456.6009,-800.8802,702.52844,-26.714111,204.3457,234.44775,792.91736,888.54553,-848.2066,-277.42407,940.52454,-186.12164,976.4835,1
609.8428,26.876343,604.81384,-932.4645,-576.5477,-313.89795,143.53162,-479.55493,959.6229,-902.25256,-937.89685,-548.98,799.44507,619.5182,878.0657,175.52258,261.6355,-243.64905,-554.5331,-882.3276,1
442.40112,268.854,821.7803,16.060364,846.1301,-156.7055,-339.13654,-969.09155,-223.34625,-323.0443,64.3905,687.00586,137.32996,576.8246,458.95947,240.0409,-420.77997,726.2114,-486.6601,16.43695,0
40.14502,143.04553,-629.90845,552.1946,633.42053,35.22876,-461.94904,944.1301,-426.41028,-247.42926,-323.05267,727.2926,-632.5155,-158.52667,202.67712,-194.76898,852.4656,827.6647,151.52869,-514.8237,0
-170.29749,-216.0672,63.918213,508.08936,-981.125,483.94287,-217.04028,-886.0782,-148.30994,-0.13360596,-989.53876,-354.67755,-774.87494,970.6886,222.70178,-31.584412,-248.67627,449.7046,-879.38916,77.16809,0
269.58655,-766.14923,-826.2612,648.2505,426.91284,-115.83826,14.669556,-973.80975,987.0686,-734.215,450.29443,-855.994,194.16821,367.6206,-321.3678,-777.60065,-4.7264404,405.80017,934.64355,740.97534,0
217.53271,-228.1438,235.7561,137.85071,-101.10785,-744.4266,-842.4182,969.4004,887.4335,-845.84204,642.57007,849.78296,-447.09613,-626.50476,729.11414,390.2782,-4.9804077,433.91382,785.88306,571.3579,1
486.64343,-587.9915,345.9264,505.80225,55.94812,281.71924,-42.641296,-610.9324,90.19629,862.00256,602.20044,583.49817,634.7804,635.07227,-817.78674,245.86646,664.6858,-931.67413,330.33777,-316.88037,1
21.550537,754.7186,-621.3961,-290.90466,-61.984802,-319.52112,-301.84808,675.36584,-887.92957,235.70923,-175.73315,-437.74286,-852.37524,-797.44965,-210.90625,-458.51904,843.5314,887.23047,-93.03027,-240.29205,0
-708.1708,806.45984,892.0708,-257.19812,-963.03326,-104.72644,-364.66052,-216.67499,651.29626,-927.4333,227.42456,-50.6864,998.1376,-817.79877,886.6289,-59.783875,-817.77014,-178.28754,335.6272,-83.724,0
728.4032,377.2777,-132.01636,640.5298,-117.1814,-297.2469,-144.74023,-202.01495,97.13965,-687.7771,-232.22595,194.43164,-265.48492,699.6499,916.8369,687.7294,-172.73126,455.85278,-926.44867,167.30847,1
-680.2946,-777.82324,-120.96344,673.0067,645.4602,201.86987,-466.80658,-167.73877,717.3336,-55.69153,633.90173,-804.93994,-551.4315,423.86597,235.8009,-241.0484,-221.9574,-945.6476,207.57227,-998.20026,0
-162.13263,211.59766,788.90735,-922.1366,-619.6067,80.88635,883.1128,-516.8303,872.64624,202.60107,-931.43506,-540.9592,769.72705,-41.43701,-428.00232,-321.976,394.72754,423.20422,-481.1314,-655.6322,1
581.2301,-502.15326,-339.18475,-258.42615,-224.5293,-946.9984,477.48132,472.4491,-351.23297,922.7428,-940.2457,162.46875,-563.17676,26.854004,-496.27637,-764.8433,201.04114,-359.41803,679.43616,518.574,1
997.98315,-111.52521,185.78711,-95.09601,546.6476,-92.07623,62.652832,60.50659,399.23254,809.6647,403.6383,-728.2904,849.5801,556.64026,-602.4247,911.9929,854.5083,-810.7396,524.17346,729.1135,1
96.755005,-555.75684,-361.00507,-823.89056,984.27014,-254.14447,505.1848,348.00964,859.11365,-207.48419,964.1577,-263.5288,-19.772278,-481.6399,-615.29456,-22.546509,947.86707,78.51465,289.75757,-957.5729,0
153.49268,688.45874,-867.7092,911.5127,-432.5569,-357.99963,-923.35126,667.3281,-282.28522,-360.96924,-661.198,161.21802,66.70325,673.3622,-851.16046,928.9286,-841.23444,162.59448,-278.74768,-129.31995,0
-110.01483,-253.9018,753.3325,360.9834,-957.4665,-766.16077,-80.720276,916.4335,829.5393,557.9144,-412.62994,-674.89465,-387.60858,260.3059,559.8081,229.07141,-819.0819,44.502686,19.65155,551.942,1
-972.1012,-774.72003,66.458984,-123.7677,-97.11713,530.06433,232.08081,-99.262146,-403.69696,-363.04114,190.27698,446.00208,-616.6111,-921.3635,-491.3898,-873.65814,-151.60016,697.9557,-261.66815,-230.20715,0
-86.78717,-289.71045,397.7401,942.724,810.3174,-390.7967,476.75757,523.7628,-531.21655,646.2529,975.23975,-827.9366,-677.2146,-577.68054,-315.20618,747.8385,905.7799,-752.9646,933.6492,-731.53,0
-240.54779,354.49695,336.39026,-178.59912,-834.94135,-192.39923,-274.87378,-994.5978,-4.187683,979.98035,385.93677,934.70105,-407.5287,-126.33887,-515.7988,-384.15576,-19.693909,212.19202,-865.3179,-404.93585,0
974.13794,-756.84827,-42.99951,174.30371,-240.844,-509.4293,-845.59534,206.94678,-611.264,316.948,-836.4968,509.69348,306.49963,-913.8163,744.8943,-735.09143,-521.6315,962.8893,19.391663,438.1604,1
-988.6164,940.17664,401.81274,198.56323,239.57434,-442.83008,-355.94,-395.07867,173.18018,949.1221,-728.50885,-591.43317,936.0415,367.16125,581.3419,724.1721,-643.0104,111.33069,69.22815,-467.28894,1
-765.4113,-60.27289,-340.47925,-493.87073,960.5891,448.1858,-562.34705,481.18018,165.97424,-340.9057,717.1846,-939.7318,844.494,114.56653,-778.28705,-719.964,-987.9023,138.3418,-78.512085,-936.1796,0
